Symbol,Logged_On,Position,Timeline,Comments
AMIORG,03-Sep-23,Long,4,DivergenceQ & HA_S.S & relatively new company
CHEMPLASTS,26-Aug-23,Long,4,S.S w#77 & DivergenceQ
SHAREINDIA,26-Aug-23,Long,4,DivergenceQ & HA_S.S & relatively new company
MOLDTECH,26-Aug-23,Long,4,S.S w#84 & DivergenceX
IPL,02-Sep-23,Long,4,Divergence4
GAEL,02-Sep-23,Long,4,DivQ
PGEL,02-Sep-23,Long,4,SS & DivX
TIRUMALCHM,31-Aug-23,Long,10,Monthly
POKARNA,31-Aug-23,Long,10,Monthly
ESABINDIA,31-Aug-23,Long,10,Monthly
DSSL,31-Aug-23,Long,10,Monthly
HINDALCO,31-Aug-23,Long,10,Monthly
